집계일자,집계시,시작영업소코드,도착영업소코드,TCS차종구분코드,출발도착기준구분코드,통행시간,평활화전통행시간,평균속도,영업소간보정구분코드,교통량,유효교통량,통행시간표준편차,통행시간변동계수,통행시간최대값,통행시간중위값,통행시간최소값,퍼센타일15_85통행시간,최종변경시각,시작영업소이름,시작도로이름,도착영업소이름,도착도로이름
20210624,00,138 ,757 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,양산,경부선,진영,부산외곽순환선
20210624,00,140 ,757 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,부산,경부선,진영,부산외곽순환선
20210624,00,140 ,757 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,부산,경부선,진영,부산외곽순환선
20210624,00,140 ,757 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210624021327,부산,경부선,진영,부산외곽순환선
20210624,00,146 ,757 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,동창원,남해선A,진영,부산외곽순환선
20210624,00,146 ,757 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,동창원,남해선A,진영,부산외곽순환선
20210624,00,578 ,749 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,서세종,당진상주선,영덕,당진상주선
20210624,00,623 ,749 ,6,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210624021327,수성,대구-부산선,영덕,당진상주선
20210624,00,668 ,749 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,신평JC,제2영동선,영덕,당진상주선
20210624,00,673 ,749 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북오산,수도권제2순환선,영덕,당진상주선
20210624,00,714 ,749 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210624021327,북의성,당진상주선,영덕,당진상주선
20210624,00,715 ,749 ,6,2,1893,1893,94.55,00,1,1,0,0,1893,1893,1893,0,20210624021327,동안동,당진상주선,영덕,당진상주선
