AVC_ID,이정,등록일,노선번호,도로명,지역본부코드,지역본부명,지사코드,지사명,위도값,경도값,도로등급구분코드,도로등급구분명,장비소속구분코드,장비소속구분명,출력페이지번호,한페이지당출력건수
0251AV00260 ,65.20km,20110201,0251,호남선,500000,광주전남본부,510200,광주지사,35.225700,126.990410,101,고속국도,  ,,,
0251AV00300 ,72.10km,20131224,0251,호남선,500000,광주전남본부,510200,광주지사,35.200230,126.929470,101,고속국도,00,본선,,
0251AV00400 ,75.40km,20131224,0251,호남선,500000,광주전남본부,510200,광주지사,35.183300,126.912810,101,고속국도,00,본선,,
0251AV00440 ,83.80km,20110201,0251,호남선,500000,광주전남본부,510200,광주지사,35.209590,126.831890,101,고속국도,  ,,,
0251AV00460 ,87.90km,20190116,0251,호남선,500000,광주전남본부,510200,광주지사,35.142630,126.490750,101,고속국도,00,본선,,
0251AV00500 ,104.15km,20131224,0251,호남선,500000,광주전남본부,510200,광주지사,35.371420,126.808510,101,고속국도,00,본선,,
0251AV00700 ,176.60km,20110201,0251,호남선,800000,전북본부,810500,전주지사,35.934530,127.081420,101,고속국도,  ,,,
0251AV00800 ,181.20km,20110201,0251,호남선,800000,전북본부,810100,논산지사,35.969630,127.104990,101,고속국도,  ,,,
0251AV00900 ,187.90km,20110201,0251,호남선,800000,전북본부,810100,논산지사,36.025980,127.103240,101,고속국도,  ,,,
0251AV01000 ,57.95km,20160325,0251,호남선,500000,광주전남본부,510700,담양지사,35.254440,127.228610,101,고속국도,00,본선,,
0251AV01100 ,98.42km,20160325,0251,호남선,500000,광주전남본부,510200,광주지사,35.320000,126.799440,101,고속국도,00,본선,,
0270AV00100 ,4.40km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,34.982210,127.546830,101,고속국도,  ,,,
0270AV00400 ,47.80km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.324530,127.364260,101,고속국도,  ,,,
0270AV00500 ,55.60km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.383870,127.319610,101,고속국도,  ,,,
0270AV00600 ,60.90km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.428270,127.309530,101,고속국도,  ,,,
0270AV00800 ,83.09km,20110201,0270,순천완주선,500000,광주전남본부,510900,구례지사,35.614720,127.335170,101,고속국도,  ,,,
0270AV01100 ,115.60km,20110201,0270,순천완주선,800000,전북본부,810700,진안지사,35.866620,127.184150,101,고속국도,  ,,,
